"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2018","0.005806","0.005713","0.005843","0.005702","652.24M","1.63%"
"Sep 21, 2018","0.005713","0.005714","0.006009","0.005636","1.18B","-0.02%"
"Sep 20, 2018","0.005714","0.005634","0.005940","0.005633","1.00B","1.49%"
"Sep 19, 2018","0.005630","0.005970","0.006269","0.005313","1.83B","-5.70%"
"Sep 18, 2018","0.005970","0.006278","0.006314","0.005732","1.59B","-4.91%"
"Sep 17, 2018","0.006278","0.006583","0.006594","0.006194","1.38B","-4.62%"
"Sep 16, 2018","0.006583","0.006249","0.006591","0.006197","1.12B","5.34%"
"Sep 15, 2018","0.006249","0.006207","0.006314","0.006158","772.76M","0.67%"
"Sep 14, 2018","0.006207","0.006582","0.006701","0.006031","2.15B","-5.70%"
"Sep 13, 2018","0.006582","0.006494","0.006655","0.006463","1.70B","1.26%"
"Sep 12, 2018","0.006500","0.006348","0.006501","0.006200","1.62B","2.39%"
"Sep 11, 2018","0.006348","0.006945","0.006947","0.005893","4.37B","-8.60%"
"Sep 10, 2018","0.006945","0.005859","0.007039","0.005859","3.77B","18.53%"
"Sep 09, 2018","0.005859","0.005717","0.005878","0.005637","1.80B","2.49%"
"Sep 08, 2018","0.005717","0.005306","0.005876","0.005306","2.88B","7.74%"
"Sep 07, 2018","0.005306","0.005038","0.005477","0.005036","2.61B","5.32%"
"Sep 06, 2018","0.005038","0.004953","0.005106","0.004693","2.00B","1.72%"
"Sep 05, 2018","0.004953","0.005284","0.005390","0.004804","3.03B","-6.26%"
"Sep 04, 2018","0.005284","0.005324","0.005354","0.005101","2.28B","-0.76%"
"Sep 03, 2018","0.005324","0.005068","0.005646","0.005015","4.73B","5.06%"
"Sep 02, 2018","0.005067","0.006458","0.006690","0.004501","10.22B","-21.53%"
"Sep 01, 2018","0.006458","0.004823","0.007015","0.004326","11.28B","33.89%"
"Aug 31, 2018","0.004823","0.003323","0.005064","0.003234","6.26B","45.14%"
"Aug 30, 2018","0.003323","0.002630","0.003612","0.002619","3.67B","26.34%"
"Aug 29, 2018","0.002630","0.002643","0.002685","0.002579","480.45M","-0.49%"
"Aug 28, 2018","0.002643","0.002477","0.002666","0.002451","400.31M","6.72%"
"Aug 27, 2018","0.002477","0.002427","0.002488","0.002397","364.95M","2.06%"
"Aug 26, 2018","0.002427","0.002420","0.002434","0.002353","297.73M","0.26%"
"Aug 25, 2018","0.002420","0.002432","0.002454","0.002394","284.88M","-0.38%"
"Aug 24, 2018","0.002430","0.002376","0.002478","0.002333","293.01M","2.23%"
"Aug 23, 2018","0.002376","0.002332","0.002391","0.002319","301.93M","1.91%"
"Aug 22, 2018","0.002332","0.002408","0.002539","0.002308","346.11M","-3.18%"
"Aug 21, 2018","0.002408","0.002344","0.002454","0.002341","270.33M","2.76%"
"Aug 20, 2018","0.002344","0.002458","0.002478","0.002343","318.86M","-4.61%"
"Aug 19, 2018","0.002457","0.002397","0.002469","0.002375","300.51M","2.50%"
"Aug 18, 2018","0.002397","0.002498","0.002529","0.002344","409.49M","-4.03%"
"Aug 17, 2018","0.002498","0.002268","0.002498","0.002268","356.31M","10.13%"
"Aug 16, 2018","0.002268","0.002281","0.002335","0.002250","365.58M","-0.56%"
"Aug 15, 2018","0.002281","0.002232","0.002405","0.002232","326.93M","2.17%"
"Aug 14, 2018","0.002232","0.002330","0.002330","0.002099","399.41M","-4.24%"
